SN:004072031,Time,Celsius( C),High Alarm,Low Alarm,Event,Serial Number
1,2023-02-07 15:02:43,19.9,25.0,8.0,2,004072031
2,2023-02-07 15:10:23,20.3,25.0,8.0,0,004072031
3,2023-02-07 15:17:54,21.5,25.0,8.0,0,004072031
4,2023-02-07 15:25:32,22.1,25.0,8.0,1,004072031
5,2023-02-07 15:32:11,23.3,25.0,8.0,0,004072031
6,2023-02-07 15:39:49,24.8,25.0,8.0,2,004072031
7,2023-02-07 15:47:25,25.2,25.0,8.0,3,004072031
8,2023-02-07 15:55:03,26.1,25.0,8.0,3,004072031
9,2023-02-07 16:02:45,24.5,25.0,8.0,0,004072031
10,2023-02-07 16:10:19,23.9,25.0,8.0,0,004072031
11,2023-02-07 16:17:58,22.7,25.0,8.0,0,004072031
12,2023-02-07 16:25:34,21.9,25.0,8.0,1,004072031
13,2023-02-07 16:33:12,20.6,25.0,8.0,0,004072031
14,2023-02-07 16:40:47,19.8,25.0,8.0,0,004072031
15,2023-02-07 16:48:26,18.5,25.0,8.0,2,004072031
16,2023-02-07 16:56:02,17.3,25.0,8.0,1,004072031
17,2023-02-07 17:03:39,16.8,25.0,8.0,3,004072031
18,2023-02-07 17:11:15,18.0,25.0,8.0,0,004072031
19,2023-02-07 17:18:52,19.2,25.0,8.0,0,004072031
20,2023-02-07 17:26:30,20.4,25.0,8.0,1,004072031
